epoch,loss,slice_loss,view2_decoder_0_loss,view3_decoder_0_loss
0,30.01088135940371,0.609599,28.686024,0.70185196
1,29.31339346212784,0.4873901,28.268316,0.51616603
2,28.781239750018177,0.46287698,27.85877,0.45211262
3,28.21522536818348,0.45412666,27.32307,0.41116667
4,27.602478624398735,0.4465382,26.745098,0.3934744
5,26.951527832728353,0.44191647,26.103607,0.37719306
6,26.252777719255633,0.43530107,25.411089,0.35482502
7,25.448589008673395,0.43221116,24.641605,0.3327346
8,24.39761653648415,0.42709702,23.596165,0.31587684
9,23.03936796301311,0.4244872,22.274666,0.303217
10,21.595480491263814,0.41951266,20.824203,0.29340369
11,20.31557316465426,0.41892514,19.59581,0.2866606
12,19.230573250759274,0.41633844,18.465267,0.28096852
13,18.28484831808384,0.41295376,17.574173,0.27845746
14,17.479169748761326,0.41111994,16.794046,0.275723
15,16.849265126004035,0.40935174,16.141869,0.27312088
16,16.24484256479744,0.4082591,15.551279,0.27035227
17,15.64394798214262,0.40603837,14.9355345,0.267914
18,15.0894635728168,0.40753794,14.414114,0.26615804
19,14.539534968974829,0.40463763,13.834305,0.26345363
20,14.098443366952758,0.40572986,13.433627,0.26147237
21,13.557850750569765,0.40329275,12.853396,0.2586009
22,12.807462656760176,0.4025933,12.099894,0.25642204
23,12.016148270285877,0.40309507,11.318643,0.25549838
24,11.39733756173484,0.40327296,10.70162,0.25428307
25,10.912509676163571,0.40249553,10.249202,0.25314856
26,10.496224576043195,0.4014825,9.78826,0.25192207
27,10.118264959951746,0.40173492,9.444723,0.2520337
28,9.776431314432884,0.40000978,9.110342,0.25111187
29,9.474763190887503,0.40109444,8.809172,0.25093156
30,9.219053066724852,0.402278,8.572653,0.2509364
31,9.010301268847057,0.4008782,8.342596,0.25009698
32,8.838755694742735,0.40178698,8.21871,0.25019145
33,8.6976669347024,0.39821294,8.051058,0.24944647
34,8.581641063270633,0.39876407,7.908,0.24900289
35,8.484610725377014,0.3996489,7.8272514,0.24927258
36,8.406588336537936,0.39895445,7.7634063,0.24879172
37,8.343356277736916,0.39801437,7.683047,0.24836132
38,8.291509752547881,0.39867702,7.6512194,0.24868183
39,8.248440140596703,0.39775673,7.5947313,0.24800813
40,8.213486879610167,0.3985038,7.5796485,0.24813226
41,8.184631804322631,0.39816934,7.548819,0.24772689
42,8.160479526229317,0.39798316,7.5194197,0.24764268
43,8.138637934844507,0.39713338,7.501053,0.24727686
44,8.121040516900129,0.39690152,7.4872065,0.24708095
45,8.104546963260864,0.3957612,7.44738,0.24608497
46,8.09029425380597,0.3965388,7.457319,0.24570835
47,8.077062537424052,0.39562926,7.426734,0.2449204
48,8.065754395047621,0.39621294,7.429652,0.24520071
49,8.055200570327578,0.39635998,7.4243345,0.24540313
50,8.04524813811791,0.39764243,7.4312415,0.24548349
51,8.035412283314868,0.39496517,7.385722,0.2444543
52,8.026928002055728,0.39668095,7.3763094,0.24408051
53,8.015633749276047,0.39450747,7.3645844,0.24163795
54,8.005622645925143,0.39552307,7.3678474,0.23972316
55,7.998110755042578,0.3950195,7.3658905,0.23933029
56,7.9899619638213855,0.39357919,7.3571877,0.23822077
57,7.9824382617388885,0.3960049,7.355376,0.23874602
58,7.975856488933014,0.39631057,7.349847,0.2381906
59,7.968257716867928,0.3948502,7.3481584,0.23738864
60,7.961368929512812,0.39360037,7.325032,0.23696467
61,7.9550866862844085,0.39348173,7.328092,0.23665424
62,7.948195473595117,0.39475745,7.316226,0.23679261
63,7.94250169502297,0.3927622,7.3148713,0.23676233
64,7.933381558271431,0.3945356,7.329995,0.23406343
65,7.919858201506174,0.39376068,7.299534,0.22682218
66,7.913350081887543,0.39428264,7.2965417,0.2259763
67,7.907342356473661,0.39129546,7.27455,0.22479984
68,7.899996006347605,0.39328966,7.279584,0.22407599
